ID,Time,Date,Place,Country,Continent,Latitude,Longitude,Depth,Mag,Type
us6000jlqa,2023-02-06 10:24:49.258000+00:00,2023-02-06,"4 km SSE of Ekinözü, Turkey",Turkey,Europe,38.0235,37.203,10.0,7.5,earthquake
us6000jllz,2023-02-06 01:17:35.525000+00:00,2023-02-06,"27 km E of Nurda??, Turkey",Turkey,Europe,37.1662,37.0421,17.0,7.8,earthquake
us7000j36j,2023-01-09 17:47:35.038000+00:00,2023-01-09,"Pulau Pulau Tanimbar, Indonesia",Indonesia,Asia,-7.0652,130.0047,105.0,7.6,earthquake
us7000ip0l,2022-11-11 10:48:46.710000+00:00,2022-11-11,"205 km ESE of Neiafu, Tonga",Tonga,Oceania,-19.2881,-172.1471,37.0,7.3,earthquake
us7000i9bw,2022-09-19 18:05:08.217000+00:00,2022-09-19,"35 km SSW of Aguililla, Mexico",Mexico,North America,18.4552,-102.9561,26.0,7.6,earthquake
us6000iitd,2022-09-10 23:47:00.233000+00:00,2022-09-10,"70 km E of Kainantu, Papua New Guinea",Papua New Guinea,Oceania,-6.2944,146.5038,116.0,7.6,earthquake
us7000hcmn,2022-05-26 12:02:21.110000+00:00,2022-05-26,"10 km W of Azángaro, Peru",Peru,South America,-14.9076,-70.2924,236.0,7.2,earthquake
us6000h519,2022-03-16 14:36:30.997000+00:00,2022-03-16,"57 km ENE of Namie, Japan",Japan,Asia,37.7132,141.5793,41.0,7.3,earthquake
us7000g7lx,2021-12-29 18:25:51.962000+00:00,2021-12-29,"125 km NNE of Lospalos, Timor Leste",Timor Leste,Asia,-7.5482,127.5773,165.0,7.3,earthquake
us6000gc2a,2021-12-14 03:20:23.809000+00:00,2021-12-14,Flores Sea,Flores Sea,Asia,-7.6033,122.2274,14.0,7.3,earthquake
us7000fxq2,2021-11-28 10:52:14.579000+00:00,2021-11-28,"43 km NNW of Barranca, Peru",Peru,South America,-4.4667,-76.8126,126.0,7.5,earthquake
us6000fr0b,2021-10-02 06:29:17.897000+00:00,2021-10-02,Vanuatu region,Vanuatu,Oceania,-21.1265,174.8958,527.0,7.3,earthquake
us6000f9sq,2021-08-22 21:33:18.983000+00:00,2021-08-22,South Sandwich Islands region,South Sandwich Islands,Antarctica,-60.2845,-24.8743,6.0,7.1,earthquake
us6000f65h,2021-08-14 12:29:08.454000+00:00,2021-08-14,"Nippes, Haiti",Haiti,North America,18.4335,-73.4822,10.0,7.2,earthquake
us6000f53e,2021-08-12 18:35:17.231000+00:00,2021-08-12,South Sandwich Islands region,South Sandwich Islands,Antarctica,-58.3753,-25.2637,22.0,8.1,earthquake
us6000f4ly,2021-08-12 18:32:52.464000+00:00,2021-08-12,South Sandwich Islands region,South Sandwich Islands,Antarctica,-57.5674,-25.0316,47.0,7.5,earthquake
us6000f48v,2021-08-11 17:46:13.143000+00:00,2021-08-11,"60 km ENE of Pondaguitan, Philippines",Philippines,Asia,6.4748,126.7151,55.0,7.1,earthquake
ak0219neiszm,2021-07-29 06:15:49.188000+00:00,2021-07-29,"99 km SE of Perryville, Alaska",Alaska,North America,55.3635,-157.8876,35.0,8.2,earthquake
us7000e54r,2021-05-21 18:04:13.565000+00:00,2021-05-21,"Southern Qinghai, China",China,Asia,34.5983,98.2513,10.0,7.3,earthquake
us7000dflf,2021-03-04 19:28:33.178000+00:00,2021-03-04,"Kermadec Islands, New Zealand",New Zealand,Oceania,-29.7228,-177.2794,28.0,8.1,earthquake
us7000dfk3,2021-03-04 17:41:23.370000+00:00,2021-03-04,"Kermadec Islands, New Zealand",New Zealand,Oceania,-29.6768,-177.8398,43.0,7.4,earthquake
us7000dffl,2021-03-04 13:27:34.647000+00:00,2021-03-04,"182 km NE of Gisborne, New Zealand",New Zealand,Oceania,-37.4787,179.4576,10.0,7.3,earthquake
us6000dher,2021-02-13 14:07:49.797000+00:00,2021-02-13,"73 km ENE of Namie, Japan",Japan,Asia,37.7265,141.7751,43.0,7.1,earthquake
us6000dg77,2021-02-10 13:19:55.530000+00:00,2021-02-10,southeast of the Loyalty Islands,Loyalty Islands,Oceania,-23.0511,171.6566,10.0,7.7,earthquake
